Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Change,Daily_change_percent
2023-11-30,20108.5,20158.7,20015.85,20133.15,486585349.0,48877.95,24.65,0.12258497650247407
2023-12-01,20194.1,20291.55,20183.7,20267.9,265812566.0,22461.53,73.8,0.3654532759568389
2023-12-04,20601.95,20702.65,20507.75,20686.8,381107418.0,33917.52,84.85,0.4118542176832775
2023-12-05,20808.9,20864.05,20711.15,20855.1,421008350.0,41763.52,46.2,0.22202038550812395
2023-12-06,20950.75,20961.95,20852.15,20937.7,359212958.0,35654.76,-13.05,-0.06228893953677076
2023-12-07,20932.4,20941.25,20850.8,20901.15,274985308.0,24862.43,-31.25,-0.1492900957367526
2023-12-08,20934.1,21006.1,20862.7,20969.4,292440768.0,27449.96,35.3,0.1686243975141038
2023-12-11,20965.3,21026.1,20923.7,20997.1,212921451.0,21150.17,31.8,0.15167920325490214
2023-12-12,21018.55,21037.9,20867.15,20906.4,244867128.0,25404.64,-112.15,-0.5335762933218514
2023-12-13,20929.75,20950.0,20769.5,20926.35,260269318.0,25918.44,-3.4,-0.016244818977770876
2023-12-14,21110.4,21210.9,21074.45,21182.7,334410589.0,32593.42,72.3,0.34248522055479763
2023-12-15,21287.45,21492.3,21235.3,21456.65,508761756.0,50114.46,169.2,0.7948345151720848
2023-12-18,21434.8,21482.8,21365.35,21418.65,249668965.0,23615.28,-16.15,-0.07534476645455054
2023-12-19,21477.65,21505.05,21337.75,21453.1,249750062.0,23750.61,-24.55,-0.11430487041180018
2023-12-20,21543.5,21593.0,21087.35,21150.15,363886229.0,30993.12,-393.35,-1.8258407408266997
2023-12-21,21033.95,21288.35,20976.8,21255.05,277548079.0,26001.02,221.1,1.051157771127154
2023-12-22,21295.85,21390.5,21232.45,21349.4,284708918.0,27709.29,53.55,0.25145744358642647
2023-12-26,21365.2,21477.15,21329.45,21441.35,219467748.0,20081.33,76.15,0.3564207215471889
2023-12-27,21497.65,21675.75,21495.8,21654.75,256542963.0,23059.25,157.1,0.7307775501043137
2023-12-28,21715.0,21801.45,21678.0,21778.7,393080755.0,35031.0,63.7,0.29334561363113054
2023-12-29,21737.65,21770.3,21676.9,21731.4,270922276.0,23697.88,-6.25,-0.028751958008340364
